Vuln_ID,Brand,ProdType,Category,Price,Ydif,Protocols,DataStorage,PersonalInfo,CommCap,AuthEncryption,CWE-ID1,CWE-ID2,Information Gathering,Social Engineering,State Attack,Function Abuse,Brute Force,Illegal Access,Data Manipulation,Injection
CVE-2013-2569,Zavio,IP Camera,Smart Home,115,9,TCPIP,Remote,No,"WiFi, Ethermet",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2013-4867,Electronic Arts Karotz,Weather forecast,Smart Home,130,2,"TCPIP, MTP",Remote,Yes,"WiFi, RFID, USB",None,CWE-284,,1,1,0,0,0,1,1,1
CVE-2013-4868,Electronic Arts Karotz,Weather forecast,Smart Home,130,2,"TCPIP, MTP",Remote,Yes,"WiFi, RFID, USB",None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2014-10374,Fitbit,activity-tracker,Wearable,136,0,GATT,Remote,Yes,Bluetooth,Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2014-7279,Konke,Smart Plug,Smart Home,22,1,TCPIP,Remote,No,WiFi,None,CWE-284,,1,1,0,0,0,1,1,1
CVE-2015-5729,Samsung,Smart TV,Smart Home,425,1,"TCPIP, MTP",Remote,Yes,"WiFi, Ethernet, USB",Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2015-8269,Fisher-Price,Smart Toy,Other,56,0,"TCPIP, MTP",Remote,Yes,"WiFi, USB",None,CWE-284,,1,1,0,0,0,1,1,1
CVE-2016-10702,Pebble,Smart watch,Wearable,199,2,GATT,Remote,Yes,Bluetooth,Symmetric,CWE-664,,0,0,0,0,0,1,0,0
CVE-2016-1136,KDDI,WiFi Router,Telecomm,50,3,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2016-1139,KDDI,WiFi Router,Telecomm,50,3,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-693,,1,1,1,1,1,1,1,0
CVE-2016-1140,KDDI,WiFi Router,Telecomm,50,3,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-284,,1,1,0,0,0,1,1,1
CVE-2016-1141,KDDI,WiFi Router,Telecomm,50,3,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2016-1148,Akerun,Smart Lock,Smart Home,578,0,GATT,Remote,No,BLE,None,CWE-284,,1,1,0,0,0,1,1,1
CVE-2016-6539,Thetrackr,Tracking Device,Other,25,1,GATT,Remote,No,Bluetooth,None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2016-6542,Thetrackr,Tracking Device,Other,25,1,GATT,Remote,No,Bluetooth,None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-10676,D-Link,WiFi Router,Telecomm,13.07,0,TCPIP,Local,No,"WiFi, Ethernet, WAN",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-11320,Technicolor,WiFi Router,Telecomm,18,7,TCPIP,Local,No,"WiFi, Ethernet, WAN",None,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-12590,ASUS,WiFi Router,Telecomm,27,4,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-12591,ASUS,WiFi Router,Telecomm,88,4,"TCPIP, DSP",Local,No,"WiFi, Ethernet, DSL",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-13663,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",Remote,Yes,"Ethernet, USB, ISM",None,CWE-693,,1,1,1,1,1,1,1,0
CVE-2017-13664,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",Remote,Yes,"Ethernet, USB, ISM",None,CWE-664,,0,0,0,0,0,1,0,0
CVE-2017-14413,D-Link,WiFi Router,Telecomm,133,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-14414,D-Link,WiFi Router,Telecomm,133,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
CVE-2017-14415,D-Link,WiFi Router,Telecomm,133,1,"TCPIP, MTP",Local,No,"WiFi, Ethernet, WAN, USB",Symmetric,CWE-707,,0,0,0,1,0,0,1,1
