source,target
NETGEAR WiFi Access Point Telecomm NA WAC120Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
An exploitable command injection vulnerability exists in thegoform WanParameterSetting functionality of Tenda AC9 Router AC1200 Smart DualBand Gigabit WiFi Route (AC9V1.0 Firmware V15.03.05.16multiTRU). A specially crafted HTTP POST request can cause a command injection in the DNS1 post parameters resulting in code execution. An attacker can send HTTP POST request with command to trigger this vulnerability. ,Improper Neutralization of Special Elements
Multiple crosssite request forgery (CSRF) vulnerabilities in the administrative web interface in the proxy server on FoxIT Fox DataDiode appliances before 1.7.2 allow remote attackers to hijack the authentication of administrators for requests that (1) create administrative users (2) remove administrative users or (3) change permissions. ,Insufficient Verification of Data Authenticity
Untrusted search path vulnerability in Siemens SIMATIC ProSave before 13 SP1; SIMATIC CFC before 8.0 SP4 Upd9 and 8.1 before Upd1; SIMATIC STEP 7 before 5.5 SP1 HF2 5.5 SP2 before HF7 5.5 SP3 and 5.5 SP4 before HF4; SIMOTION Scout before 4.4; and STARTER before 4.4 HF3 allows local users to gain privileges via a Trojan horse application file. ,Permissions; Privileges; and Access Controls
Siemens SIMATIC S7300 CPU devices allow remote attackers to cause a denial of service (defectmode transition) via crafted packets on (1) TCP port 102 or (2) Profibus. ,Improper Input Validation
Untrusted search path vulnerability in Ecava IntegraXor SCADA Server before 4.2.4488 allows local users to gain privileges via a renamed DLL in the default install directory. ,Permissions; Privileges; and Access Controls
A URL redirection vulnerability exists in Power Monitoring Expert Energy Expert (formerly Power Manager)EcoStruxure Power Monitoring Expert (PME) v8.2 (all editions) EcoStruxure Energy Expert 1.3 (formerly Power Manager) EcoStruxure Power SCADA Operation (PSO) 8.2 Advanced Reports and Dashboards Module EcoStruxure Power Monitoring Expert (PME) v9.0 EcoStruxure Energy Expert v2.0 and EcoStruxure Power SCADA Operation (PSO) 9.0 Advanced Reports and Dashboards Module which could cause a phishing attack when redirected to a malicious site. ,Externally Controlled Reference to a Resource in Another Sphere
Tenda WiFi Router Telecomm Tenda AC7 AC7 Linux,Improper Restriction of Operations within the Bounds of a Memory Buffer
iNovo Broadband IB8120W21 139.4410mp1.004200.002 and IB8120W21E1 139.4410mp1.3921132mp1.899.004404.004 devices allow remote attackers to discover credentials via iso.3.6.1.4.1.4491.2.4.1.1.6.1.1.0 and iso.3.6.1.4.1.4491.2.4.1.1.6.1.2.0 SNMP requests. ,Insufficiently Protected Credentials
NETGEAR MR1100 devices before 12.06.08.00 are affected by disclosure of sensitive information. ,Exposure of Sensitive Information to an Unauthorized Actor
